cpt,desc,status,work_rvu,pe_nonfac_rvu,pe_fac_rvu,mp_rvu
23145,Removal of bone lesion,A,9.17,8.55,8.55,1.95
23146,Removal of bone lesion,A,7.88,8.29,8.29,1.68
23150,Removal of humerus lesion,A,8.69,8.4,8.4,1.85
23155,Removal of humerus lesion,A,10.59,9.57,9.57,2.25
23156,Removal of humerus lesion,A,8.88,8.46,8.46,1.9
23170,Sequestrectomy clavicle,A,7.03,7.68,7.68,1.48
23172,Sequestrectomy scapula,A,7.13,7.71,7.71,1.5
23174,Sqstrctmy humrl head srg nck,A,9.8,9.81,9.81,2.09
23180,Prtl excision bone clavicle,A,8.77,8.98,8.98,1.86
23182,Prtl excision bone scapula,A,8.39,9.02,9.02,1.78
23184,Prtl excision bone prox hum,A,9.65,9.16,9.16,2.04
23190,Ostectomy scapula partial,A,7.28,7.6,7.6,1.54
23195,Resection humeral head,A,10.1,9.0,9.0,2.15
23200,Radical rescj tumor clavicle,A,22.14,14.01,14.01,4.73
23210,Radical rescj tumor scapula,A,26.53,15.41,15.41,5.64
23220,Radical rescj tumor prox hum,A,29.45,16.31,16.31,6.26
23330,Remove shoulder foreign body,A,1.85,7.58,2.73,0.4
23333,Remove shoulder fb deep,A,5.85,6.66,6.66,1.25
23334,Shoulder prosthesis removal,A,15.11,11.05,11.05,3.06
23335,Shoulder prosthesis removal,A,18.53,12.1,12.1,3.75
23350,Injection for shoulder x-ray,A,0.98,3.63,0.19,0.09
23395,Muscle transfer shoulder/arm,A,18.08,13.46,13.46,3.72
23397,Muscle transfers,A,16.34,11.4,11.4,3.48
23400,Fixation of shoulder blade,A,13.52,10.5,10.5,2.89
23405,Incision of tendon & muscle,A,8.33,7.31,7.31,1.56
23406,Incise tendon(s) & muscle(s),A,10.73,7.97,7.97,1.48
23410,Repair rotator cuff acute,A,11.11,9.49,9.49,2.3
23412,Repair rotator cuff chronic,A,11.63,9.66,9.66,2.41
23415,Release of shoulder ligament,A,9.0,8.86,8.86,1.85
23420,Repair of shoulder,A,13.2,11.17,11.17,2.77
23430,Repair biceps tendon,A,9.92,8.94,8.94,1.99
23440,Remove/transplant tendon,A,10.37,8.46,8.46,2.17
23450,Repair shoulder capsule,A,13.36,9.89,9.89,2.85
23455,Repair shoulder capsule,A,14.3,9.33,9.33,2.73
23460,Repair shoulder capsule,A,15.42,11.26,11.26,3.28
23462,Repair shoulder capsule,A,15.33,10.67,10.67,3.26
23465,Repair shoulder capsule,A,15.89,11.41,11.41,3.38
23466,Repair shoulder capsule,A,15.41,12.43,12.43,3.14
23470,Reconstruct shoulder joint,A,17.44,11.57,11.57,3.56
23472,Reconstruct shoulder joint,A,21.58,12.99,12.99,4.36
23473,Revis reconst shoulder joint,A,24.38,13.85,13.85,4.89
23474,Revis reconst shoulder joint,A,26.53,14.56,14.56,5.38
23480,Revision of collar bone,A,11.25,9.22,9.22,2.4
23485,Revision of collar bone,A,13.56,9.77,9.77,2.76
23490,Reinforce clavicle,A,11.86,9.58,9.58,2.53
23491,Reinforce shoulder bones,A,14.18,10.87,10.87,3.02
23500,Cltx clavicular fx w/o mnpj,A,2.15,5.13,4.74,0.45
23505,Cltx clavicular fx w/mnpj,A,3.73,7.7,5.8,0.81
23515,Optx clavicular fx w/int fix,A,9.45,8.94,8.94,1.94
